balance,contribution,followers,following,id,rank,rank_score,trust,trust_7d,tvf,web3_id
606932.0,0.0,10463,1429,0xa67b426eb6de4c24ecb3f778ed3f9c09ae0699cb,46,0.645762,20394,4,933185021.0,BugsBunny
2312456.0,158.2,10541,307,0x73051a64044fea61a6100eb0b55c9087be32cca3,47,0.645263,5310,321,610995446.0,DegenPanda
9348323.0,28.99,4717,288,0x0b32aa5c1e71715206fe29b7badb21ad95f272c0,48,0.643564,4058,30,607029209.0,cryptojazz
51413.0,384.62,10011,2209,0xc32b7438b3df7844c9ee799930a2224fe6e26426,49,0.643074,18205,1314,415807131.0,MrBlueSky
10216821.0,0.26,10039,113,0x11d67fa925877813b744abc0917900c2b1d6eb81,50,0.641033,3191,24,593823529.0,Indodax
2497208.0,129.53,12719,140,0x854f1269b659a727a2268ab86ff77cfb30bfb358,51,0.639624,2267,46,610287254.0,invictus369
844528.0,96.17,15061,596,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,52,0.638456,24727,722,625352903.0,SKAKUN
17424.0,403.33,9518,535,0xd16f4529c9e88eecc04a04f2ee9fdfd05f6b4a01,53,0.637715,31659,1026,712469409.0,DeFi_Club
236711.0,126.7,8903,2792,0xa6ed26749cb54591291b4550a82f15ff64ae98d9,54,0.637315,30662,629,625065616.0,hannry
36141.0,350.62,5781,597,0x4070e40fc3e382437ab7bac2249205d276bdd15a,55,0.63698,21117,1174,417845124.0,CryptoFreak
3047639.0,325.38,10368,1345,0x84a6a7c0674a3aa03e09c026600cb46181821f07,56,0.636694,9861,274,572554008.0,1f07
35045.0,389.75,13445,2928,0x69155e7ca2e688ccdc247f6c4ddf374b3ae77bd6,57,0.636577,25108,760,463720432.0,MrBang
26248.0,215.47,6653,2047,0xdf974829f6d977370b21e065ae445390cb9d010c,58,0.636456,22010,1722,477961925.0,Renegade06
17932.0,161.72,4523,1128,0xb1c0d822e2cd6d564d71b50aa02fdee9d198943e,59,0.6363,30581,1295,466319605.0,Indonesia
15749.0,329.65,8443,1681,0x7e1d89efe0d75b659fece9159801fd9df37c0ac0,60,0.63628,15139,1670,302622924.0,TheWorldBTC
7055389.0,2.54,10545,564,0x0172e05392aba65366c4dbbb70d958bbf43304e4,61,0.636269,11926,32,587630326.0,IntelGroup
296867.0,292.76,12190,2681,0x8b9869a87d5d5128eb742fbaed44441e90327e10,62,0.636117,19663,1502,494895898.0,airdropExpert
403074.0,208.9,8722,630,0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,63,0.635505,16388,583,514245918.0,nmstarchild
8566.0,121.4,15496,539,0x5a27d268e830655e908a0a2c3b24f572695af5e8,64,0.635257,30835,553,563934918.0,bykur
27865.0,181.39,11225,2995,0xaf11495f021c5c2c5f5230f40d5d57ebe4059700,65,0.635086,47318,4365,423099746.0,lilwassie
180250.0,257.65,13066,1958,0xa4b6eeeb7eba0fc360a7402f2ebe90c178115e91,66,0.634745,25825,1329,527131946.0,hodlthedoor
1098620.0,286.15,3752,955,0x0a5e1db3671faccd146404925bda5c59929f66c3,67,0.634715,16266,1189,318564224.0,CryptoCat
254573.0,72.43,16059,264,0x7532a9e3e9475337c8a907428e35932a20959fdf,68,0.634234,11558,65,689077508.0,ngmi
19528.0,240.45,17153,672,0x9c01b839c6091e519fd4749efa8b81e190c6d892,69,0.633597,37400,1967,420265343.0,RoseannePark
590856.0,344.4,11895,1698,0x862b4167e67f3ba9ed662d8ea2d0b9a40b49714b,70,0.633321,26884,368,591164469.0,Rainmaker
398776.0,230.29,13590,740,0xa48cd684ded1eee3de13e052bbdcfed59558a1ca,71,0.632841,16529,2436,309832728.0,Osborne
225547.0,55.13,10213,1361,0x7522682a93738e7da3ab42959d61cd809fe62440,72,0.63208,29921,10,639433002.0,TDM503
1982190.0,68.44,10195,311,0x90c0bf8d71369d21f8addf0da33d21dcb0b1c384,73,0.630823,3161,126,569415788.0,nelsonmandela
177814.0,72.29,9407,2633,0xae6b10bd40d92c00a0a7582d055d687f1ce47edf,74,0.630497,20116,2671,429975090.0,G_DANGER
261097.0,53.62,7666,523,0xa734439d26ce4dbf43ed7eb364ec409d949bb369,75,0.630329,4916,1049,492772512.0,Bogdan
8537.0,287.13,7615,2977,0x88eeb79b0cce7000142bbb474562663b4ab623db,76,0.630228,19684,1026,401111062.0,Sufidyanov
25394.0,146.36,11998,2603,0x744f617343f03bb7c9d52a6d84f87aa4b1017fac,77,0.629632,44639,638,362751480.0,luzerne
226484.0,693.56,9520,2999,0x780f6788da1f70110b9d7dd96d78e8c2efae1111,78,0.629458,22756,8052,560295576.0,Semenchuk
1268236.0,146.35,7975,235,0xbdc149340cc73b38aebde5f67bae146a1af9e0d6,79,0.629341,50372,756,469305419.0,odysseys
6078656.0,164.5,7474,567,0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,80,0.628846,8931,634,563909584.0,CryptoBatDog
27200.0,176.8,5543,2031,0xb4264e181207e2e701f72331e0998c38e04c8512,81,0.628585,17403,1669,138044461.0,HUNTER105
353037.0,297.25,10230,963,0xef7b7bfbc73931d230d4ff165e532d2d2248d1d1,82,0.628485,44635,1412,544713776.0,elonmoney
5643.0,201.05,9187,2825,0x27f4128205122af0ce0b87190d7986814969c494,83,0.627434,25985,2926,181123360.0,Graf
3722948.0,32.14,10668,1002,0x7ac34681f6aaeb691e150c43ee494177c0e2c183,84,0.626996,1159,6,592674268.0,Admiral
7108316.0,40.35,3661,195,0x75e42d184b2f4b1fea2673a9f3116d1f66c90b44,85,0.626649,2867,561,330538682.0,BelarusOK
119726.0,75.4,22863,208,0xbdcd88b1967b6e0e47df420e5882286776e74afb,86,0.626569,88531,3,801796397.0,snehur
2507017.0,59.34,10081,530,0xc47fae56f3702737b69ed615950c01217ec5c7c8,87,0.62638,2370,25,555141497.0,fulmer
124657.0,76.98,4687,2501,0x1aa4a66ef0cfa99ca9d39fdad2b05489744c972a,88,0.625965,31151,3770,188142563.0,topadvert
35361.0,319.88,7498,778,0xea2678eb35d2068616ced7bc2b6e861de9142008,89,0.625853,16556,1807,421483696.0,DeBob
790785.0,183.75,8000,668,0xa2b16c27c0766a1df18892f7b0413b4f5806ee4d,90,0.625766,6182,100,409035463.0,ponziscam
2538401.0,13.99,10122,155,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,91,0.625714,2199,17,346652421.0,lemiscate
715897.0,258.29,4262,1577,0xe4336223707c1616278a44ecd9f4546ea422f8e7,92,0.625646,22146,826,409257446.0,rianbet
41224.0,322.36,7325,1569,0xfe5021168d36b8af7d5ddbd98c5baea8b69b42f4,93,0.625487,52935,2424,406622147.0,VietnamPenguin
229822.0,60.88,10210,1030,0xc69ae428f6049e78d445f053d2c1df879c59b34c,94,0.625448,14968,315,526627613.0,Punkk
16813.0,576.07,7174,2056,0x65c76a684dbfd773bab8a7463e7498686bafd833,95,0.625227,34454,6168,299658028.0,Konopok
13824453.0,21.13,9547,133,0x4ee79e19c9c398e364d135f01b25dccc0473047c,96,0.624519,1560,9,373058725.0,Vladilena
28989.0,296.02,7557,1372,0xe79f6334107a5fca525104e11bd6ab9f160edfd8,97,0.624351,44608,661,588393641.0,Slay
169862.0,86.48,2536,918,0x5580ba66f8d6dc71adb0ca1d1c6b3d142ff7aaca,98,0.624278,7620,989,122791921.0,Sausages
62387.0,189.28,9065,786,0x33a924165e1f2be5142fd19d1b2f091cb23bfd3f,99,0.624216,10032,532,615914349.0,ao_investman
388933.0,105.99,9657,86,0xf7476db5b717ac661c027e684456115ab1e728c3,100,0.623798,1814,110,273769250.0,Binance
