rank,rank_score,web3_id,id,balance,tvf,followers,following,trust,trust_7d,contribution,sybil,not_sybil
66,0.629856,elonmoney,0xef7b7bfbc73931d230d4ff165e532d2d2248d1d1,324757.0,537257270.0,10185,916,40349,1650,295.28,1,33
67,0.62974,Richie_Rich,0xcedafb4137505a23238e225378293e6c0fde1745,88794.0,441107060.0,19585,412,50832,2861,308.73,1,20
68,0.629662,mugetssu,0xcc5410dfa396db634428405e81ba6cf79337af73,37389.0,309586629.0,4175,330,16190,1289,132.4,0,11
69,0.629369,lemiscate,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,2283518.0,316105100.0,10174,153,2100,308,187.21,0,9
70,0.629321,ponziscam,0xa2b16c27c0766a1df18892f7b0413b4f5806ee4d,751853.0,388145059.0,7836,619,5775,155,196.3,0,23
71,0.629161,RoseannePark,0x9c01b839c6091e519fd4749efa8b81e190c6d892,26588.0,358180922.0,15172,669,33190,2032,281.53,0,26
72,0.629081,lilwassie,0xaf11495f021c5c2c5f5230f40d5d57ebe4059700,23478.0,380663470.0,10683,2925,23340,6726,135.4,3,187
73,0.628499,CryptoCat,0x0a5e1db3671faccd146404925bda5c59929f66c3,563648.0,257194275.0,3634,900,12648,1316,334.32,0,56
74,0.628291,Punkk,0xc69ae428f6049e78d445f053d2c1df879c59b34c,246351.0,503185098.0,10218,1014,13260,655,242.37,0,18
75,0.628229,Renegade06,0xdf974829f6d977370b21e065ae445390cb9d010c,24611.0,429980540.0,6484,2021,17999,1037,254.78,1,28
76,0.6281,Admiral,0x7ac34681f6aaeb691e150c43ee494177c0e2c183,3800717.0,584635216.0,10542,992,1147,6,30.27,0,46
77,0.627912,BonkBonk,0x97a1341c5c827706bcbc30fb7064ec423262ce92,674258.0,438248425.0,5385,246,5016,3242,276.78,0,16
78,0.627611,sh1t,0xd2c991cc5bdbb00195b8c814abc1cb195dbba910,18352.0,415572499.0,6874,997,12180,1367,227.06,2,43
79,0.627587,razyob,0x7f8e3f0fa7eea2df907c04eb5696e3a0666a56d2,11303.0,363305357.0,10641,2861,12478,2555,291.79,1,65
80,0.62755,harris,0xdb5393a5056759f966f441df8ee1c9b5c09ec397,19118.0,367292907.0,3905,2523,15743,957,206.77,1,93
